,text,task1,task2,language
3734,"Desnudas xxx gratis, deutsche schwgerin porno! Italiani porno gratis, canal chat gratis. https://t.co/wJWFnVuhVe",0,3,1
3735,"@SatireUNfreiesD So ist es, der Islam ist keine Religion des Friedens! https://t.co/NSyjYNJ477",0,0,1
3736,@hubertus_zulu @nilzee011 @LinoTobi @dieserRoman Wie dumm kann man eigentlich sein?,1,1,1
3737,porno estar gratis unterwrfige deutsche frauen porno mutter fisten sexy mdchen in hotpants https://t.co/FvAKmqCJCu,0,3,1
3738,@LianePoost @welt Ich beziehe mich nicht nur auf die DDR. Sozialistische System waren schon immer unproduktiv und w… https://t.co/lrQeZvtXF6,1,1,1
3739,@brunipamder237 @Sonnenbebrillt3 @Altonese86 Wir halt einfach immer,1,1,1
3740,"Ohne scheiss, das is doch einfach unfair",1,1,1
3741,"RT @yungatakan: niemand:

vertrau mir niemand

nichtmal merkel:

deutsche kinder von afd wählern: https://t.co/EHO9ip8u6z",1,1,1
3742,"RT @Deacon__Blues: Da @TwitterDE anscheinend ein Haufen Idioten sind, die momentan auf Zuruf von afd-Bots Leute wie @RAStadler oder @Sawsan…",1,1,1
3743,Ist es nicht Extrem Dumm Zeit für Geld zu verkaufen ? Arbeitskraft/Stundenlohn/ Zeit. Ist es nicht erbärmlich Wisse… https://t.co/rymiIWWH7O,1,1,1
3744,"#NWBRB58

+++ Ausfall +++ Osnabrück Hbf (ab 13:26) -&gt; Delmenhorst (an 15:24)  am 18.05.2019  Grund: Fahrzeugstörung… https://t.co/0yqkl1fESN",1,1,1
3745,@JoergRMayer @lichtmesz Wirst schon noch deinen Versorgungsposten bekommen. So wie jeder hartnäckige Karrierist. Ab… https://t.co/UsQERWQxXm,1,1,1
3746,"@Hartes_Geld #Nazis waren schon immer #Linke, halt miese #Sozialisten - wie die #Antifanten der #kriminellen #Antifa.",0,0,1
3747,"RT @451_grad: #Benziner dreckiger als #Diesel?
Für @Die_Gruenen schon, aber stimmt das auch? 🤷‍
📍 Noch mehr dazu: https://t.co/NSfD2FOCqd 📍…",1,1,1
3748,"@xRxss_ Ich hab halt überall Wireless Charging Pads, wär sau dumm. 😅",1,1,1
3749,RT @Katerfrieden: Ich bin dafür dass die Grünen das Geschoß ertragen. https://t.co/E8azul8WmQ,1,1,1
3750,"RT @braindead_xy: @tagesschau Deutsche Regierung stürzt ausländische Regierung.

Und feiert das!

Ihr Deutschen (87%) kotzt mich so an! Ihr…",0,0,1
3751,@johannesw82 @bellefired @VollzeitJonas 🤦‍♂️wie kann man nur so dumm sein 😂🤣,1,1,1
3752,*hier nach belieben auch Politik(er) einfügen.,1,1,1
3753,Schlagabtausch  im ZDF..... regierungsgesteuerte SCHEISSE mit dementsprechendem Publikum vor Ort!!!!!!!!!!,0,2,1
3754,ich verleih nie wieder mein scheiß crusher,0,3,1
3755,RT @neomagazin: Deutsche Carpool Karaoke #DoTheyKnowItsEurope https://t.co/JENTkGq11j,1,1,1
3756,WELT: Horst Seehofer kündigt kriminellen Clans den Kampf an WELT: Horst Seehofer kündigt kriminellen Clans den Kamp… https://t.co/RT1oMHEGvq,1,1,1
3757,RT @Das_KGB: Zum kotzen https://t.co/LGsgiE4Jjb,1,1,1
3758,RT @Hihi97948034: Mero ist ein Hurensohn,0,3,1
3759,"Wenn du schon seit knapp 10 Monaten mit einem Kollegen zusammen arbeitest, nie ein Wort Deutsch mit ihm sprachst, w… https://t.co/94SZrnqotc",1,1,1
3760,@domi_twr Einfach kein assi sein der im kreisel nicht blinkt. Und auf der autobahn wäre blinken auch vorteilhaft,1,1,1
3761,hab glaube echt gerade den größten hurensohn busfahrer deutschlands,0,2,1
3762,RT @tagesschau: EVP-Spitzenkandidat Weber will Europa einen https://t.co/ooAUUBLZTj #Europawahl2019 #Weber #Wahlarena,1,1,1
3763,Warum haben linke Politiker eigentlich kaum ein richtiges Berufsleben?,1,1,1
3764,Aaaain gabriel ❤️😍,1,1,1
3765,hört sich an wie Hintergrundmusik für  Mobilfunkwerbung #escorf,1,1,1
3766,@Der_OG_Julius ist der echt mit der zusammen,1,1,1
3767,RT @TopTomCH: Aufruf zum ficken!  Da Er @MichaelHaenel3 seit über 3 Monaten keinen echten Schwanz mehr im Arsch hatte wird eine geiler Top…,0,3,1
3768,Damit wir vor #Scheisse bewahrt werden: #FusionBleibt !! https://t.co/0mLIf78Gms,0,3,1
3769,@go73729092 @Ralf_Stegner Machen doch alle privaten Medien so!,1,1,1
3770,@xmerve021 ja ist halt echt,1,1,1
3771,"RT @Jesus_folgen: @HaraldBecker80 Als Gegenbeispiel gibt es ein Video, in dem gezeigt wird, wie die DEUTSCHE BUNDESKANZLERIN NAMENS MERKEL…",1,1,1
3772,900.000 deutsche „Flüchtlinge“ im EU-Ausland https://t.co/8RsEOvFFY0,1,1,1
3773,ALERTE Ruche4 Poids=10.2kg -&gt;https://t.co/WTpfLC1Afv  … Infos-&gt;https://t.co/nzwsT5HGPr (14:47:56) https://t.co/gjZnuXZoSy,1,1,1
3774,@GG_SSBM was soll dieser scheiß man,1,1,1
3775,"RT @BB12_DE: @krippmarie @KunkelMuhme Die linken Schlägertrupps sind wieder in Deutschland unterwegs. 🙄

#unserwir https://t.co/mhkvN554er",1,1,1
3776,"RT @Atomreisfleisch: @jacky_lope Und man hört diese ganzen Elektro-Dinger nicht. Ich stelle mich schon heute auf das Geheule ein, wenn Leut…",1,1,1
3777,"* rachsüchtige Frauen. Es gibt hasserfüllte Frauen,  Frauen die betrügen und lügen. 

Hört auf eure Mysogynie hinte… https://t.co/k2mvmkkVsC",1,1,1
3778,"die arroganz der leute aus den westlichen bundesländern ist so ekelhaft und abstoßend, ich könnt kotzen 
wie kann m… https://t.co/uXdFuejOZB",0,0,1
3779,@Pokehita97 Hey sorry das ich so overreacted habe!! (kenn das deutsche wort für overreact nicht sry😅) CAN U PLS FOR… https://t.co/nLPmQIhVCW,1,1,1
3780,RT @burger_ein: Radikale Moslems und nationalistische Türken Die verschwiegenenen Wähler der Grünen https://t.co/u7Jj38Ldc1,0,0,1
3781,@Obi_Jan_Kenobii @walkerjole Die haben sich mit der Zeit schon selbst entsorgt.,1,1,1
3782,Siege &gt; CoD,1,1,1
3783,"RT @RolandTichy: Keiner redet vom Wetter, nur wir: Die Grünen sitzen jetzt ihrerseits in der Klimafalle: Radiale Maßnahmen sind hübsche For…",1,1,1
3784,@MartinaHolst @rudolfuz Politiker kriegen bestimmt wieder Extrarechte,1,1,1
3785,Die Bigotterie von Grünen ist kaum aushaltbar. FCK NAZIS auf den Plakaten aber neben ihnen Stehen und Flyer verteil… https://t.co/D2SoJv7zU0,1,1,1
3786,@STARGAMESTV69 @verankernLUL @Papaplatte @tim0cy arsch https://t.co/ezeiGmpJAb,1,1,1
3787,EINFACH NUR AUS ZEITVERTREIB,1,1,1
3788,"@Tlaytweet hilfe diese frau was befindet sich in ihrem kopf an der stelle, wo normale menschen ein hirn haben?",0,2,1
3789,"RT @PeterZobel4: @ZDFheute ""Keine Zusammenarbeit mit rechten Parteien"". Also gehört Merkel einer linken Partei an? Oder was soll das heißen?",1,1,1
3790,"Gutschein ""-50% REBELITA Fleecepulover für Frauen!"" https://t.co/EC0VX6LWYj",1,1,1
3791,"#Hofheim Hobbyhure-sucht-Taschengeld: Anna zarte St*te - Zarte, deutsche St*te  will d... https://t.co/z5s5n4K9fl https://t.co/FJqJxBuyIS",0,3,1
3792,"„Die Wähler sind halt zu dumm, sodass wir ihnen unsere Positionen nicht vermitteln konnten. Diese Verachtung für si… https://t.co/rMolA6HBKi",0,0,1
3793,"benutze dein Gehirn! 
Niemand hat mich bezahlt :(
#EducaAunFifi",1,1,1
3794,RT @Ulrik_von: @spdberlin @gabischoff @RaedSalehBerlin Das neue Logo ist auch schon fertig. https://t.co/BZeIk9yBzf,1,1,1
3795,"@RainerWinklerDE Lieben Heteros, jetz habter richtig Scheiße am Arsch, etzala fliegt ihr raus.",1,1,1
3796,"@Piratenpartei Was soll dieses Gequatsche von Nazis? Wer gegen ILLEGALE Migration und linken Gesinnungsterror ist,… https://t.co/FRLCTDCZoE",1,1,1
3797,@nicerlucas Scheiß alki,0,3,1
3798,@DanyVause Deutsche Kultur https://t.co/nUdQfuCLsc,1,1,1
3799,@maynstream Bin halt aber schon tip-top motivator https://t.co/AvRaWLUEMI,1,1,1
3800,ich hasse meine eltern ohne spass diese dummen hurensohne ich bin fucking 14 und die heulen rum wenn ich EINE fuxki… https://t.co/ARddcXxbDn,0,3,1
3801,scheiß bauchschmerzen,1,1,1
3802,"@DrThomasBruns @VonSchwer Wer tritt denn heute von den dt. Politikern noch zurück?
Demnach hätte Merkel schon vor J… https://t.co/rRzVlfdkMK",1,1,1
3803,RT @ZDFheute: Wer wählte die Grünen bei der #Europawahl2019? https://t.co/bDmYsTVuTf,1,1,1
3804,@tukyabitch lass linken,1,1,1
3805,"Merkel hat Deutschland abgehakt.
Es interessiert sie einfach nicht mehr.
Sie reist ein bisschen durch die Welt und… https://t.co/ofrWEtyVKP",1,1,1
3806,Alkohol und Schwangerschaft: Noch nicht geboren – schon betrunken https://t.co/mEMT2egFpC,1,1,1
3807,"RT @____Firefox___: Der Kern der #Grünen Pädo und Nekrosex Sekte.

Was ist das doch für ein widerliches Geschmeiß 

Die Grünen müssen weg h…",0,3,1
3808,"RT @Zar2001doz: @tagesschau Trump war im Dezember in Deutschland, ohne Merkel und Maas überhaupt bescheid zu geben.
Jetzt versetzt Pompeo d…",1,1,1
3809,"Kölner Stadt-Anzeiger: Martin Schulz wirft Merkel Untätigkeit für Europa vor – ""Skandal, dass sie am Euro https://t.co/ARMwSBbkGH",1,1,1
3810,"RT @Glockto: Wenn ich Blumenkohl zubereite, muss ich immer vorstellen, dass ich ein Gehirn seziere.

""Und das, werte Kolleginnen und Kolleg…",1,1,1
3811,"RT @zuckerbienchen_: Bin kurz vor den 2.222 Followern!

Ein paar von euch können sich jetzt schon mal ausziehen und mir dann ihre Nudes sch…",1,1,1
3812,„Schlimmer geht es nicht“ – Adidas-Chef Rorsted rechnet mit Bundeskanzlerin Merkel ab https://t.co/QsBE9yAeXY via @DrDavidBerger,1,1,1
3813,@untenistoben Unfassbar. Merkel muss weg!,1,1,1
3814,"@ZDFheute @wulfschmiese Ach, und mit Leuten wie Maas und Merkel, die uns vorgelogen haben, der unheilvolle… https://t.co/M4pnSEFeHF",1,1,1
3815,@milkiriveri Beißt Dir den Kopf ab,1,1,1
3816,RT @tabeayy: meine tante schickt das einfach in die familiengruppe und i- https://t.co/NFpw13DNHU,1,1,1
3817,RT @SpiegelAnti: Warum die Europäer Vasallen der USA sind und wie von dieser Tatsache abgelenkt wird https://t.co/t02eVtMCZf,1,1,1
3818,macht mich schon wieder absolut sad dass ich nichts kann,1,1,1
3819,"Achja Deutsche und ihr Heldenmythos😒
https://t.co/JiCFjakW4W",1,1,1
3820,"@WELTnews Don alphonso? Echt jetzt? Der komische neue-Rechte, der nie Ahnung hat?",1,1,1
3821,@vanHimbeeren @tagesschau Wenn ich ihr Gesicht sehe muss ich auch brechen! 😁,1,1,1
3822,RT @AliceWo18626168: Merkel spalterische Eurorettungspolitik entpuppt sich als fiskalisches Fiasko un Täuschungskonstrukt https://t.co/FDHX…,1,1,1
3823,@tagesschau Mir doch Scheißegal,1,1,1
3824,Und noch eine Luftblase: Merkel strebt Klimaneutralität bis 2050 an https://t.co/kDlqUZcdo1,1,1,1
3825,@Tulpa2230 @ZDFheute @PeterToitberg @ArminWolf Die Arroganz der Linken schadet nicht nur dem politischen Diskurs so… https://t.co/5EElap5LXN,0,0,1
3826,@schwartz_ht @internetbazi @KulierJarolina Ist Dein bester Freund auch so 1 Hurensohn wie der Bazi?,0,2,1
3827,@Golzheimer Das ist das Resultat Merkel Deutschland Europa Welt Politik/Merkel kassierte Milliarden für Aufbau der… https://t.co/q2smFXJmoE,1,1,1
3828,Kennst du schon „Ryan Riback - Kinder Eyes (HoshiMusikDesign)“ von HoshiMusikDesign auf #SoundCloud? #np https://t.co/sTtTrCgBFZ,1,1,1
3829,Neueste Videos :  30.05.2019 von KikiVega -&gt; Krasse Aktion. Von der Strasse direkt in den ARSCH !! https://t.co/bzbpPlIsgw,0,3,1
3830,RT @heuteshow: Einfach weiter lächeln. #AKK #Merkel https://t.co/8dTW0WHlnI,1,1,1
3831,"Deutsche hobby pornos, deutsche junge schlampen porno. Teens ficken hd frauen ficken sich. https://t.co/QCWxAen3tA",0,3,1
3832,Dir würde ich jetzt gerne in deinen geilen Arsch ficken und dir das Arschloch voll spritzen.  Geile Sau… https://t.co/h0as0ch4s8,0,3,1
3833,@realverlust Kotzen muss ich so oder so 😂,1,1,1
3834,@SchwesterFD Einfach nur ❤❤❤,1,1,1
3835,"@Dieter_Grind Da brauchts nicht mal was staatlich organisiertes. Die Leute sind so im Kopf gfickt, die schaffens selbst",0,3,1
3836,"@KNA_Redaktion @bodoramelow Hmm, ab 1933 unterstützte die Kirche ja auch die Nazis! 🤷🏼‍♀️",1,1,1
3837,"@Karl_Lauterbach Du Super Spinner!
Ihr seit doch die Mietpreis Wucherer mit Eurem Styropor "" das Pack"" Gabriel.
Verlogene Scheiss Partei",0,0,1
3838,"RT @434Italo: Niemand in Europa redet vom Klimaschutz. Nur in eurer kleinen, deutsch-chauvinistischen Welt, die ihr euch eingerichtet habt,…",1,1,1
3839,@sailorvicious_ DAS DOCH FRÜHER! :&gt;,1,1,1
3840,@jusederjude kinder sind halt dumm wie scheiße schade,0,0,1
3841,RT @tagesschau: Auf 11 Quadratmetern mit einer vierköpfigen Familie: Junge Wohnkonzepte in Europa. Unsere neue Serie #Club28 zeigt Probleme…,1,1,1
3842,@bernd471 @Silke1974geb @Mrchentante1 Die Linken und Grünen scheinbar doch!,1,1,1
3843,@Sudelheft Was für ein dummes widerliches Arschloch,0,3,1
3844,Merkel hat doch fast alles erreicht!Den Rest Deutschland schafft sie auch noch!Macht alle weiter so und denkt das s… https://t.co/vjHZSOALty,0,2,1
3845,Extension: Daniel Mitchell (F) | Telford Tigers -&gt; Telford Tigers | https://t.co/nkx2RGNWVN #NIHL,1,1,1
3846,"RT @Ricarda_Lang: Konservative: Die Linken machen nur noch Identitätspolitik und sind deshalb Schuld am Rechtsruck. 

Linke: Lasst mal über…",1,1,1
3847,RT @schautnichtweg: @LoveGuerillos @thorser62 @luciamertins @kmw2904 Ich pack’s langsam nicht mehr 🙈😅🤩 https://t.co/VtR6VnY7LL,1,1,1
3848,Merkel Doktorarbeit: Ein Fake? | MMnews https://t.co/nmHgVfK0IA,1,1,1
3849,"@citylayer Ich packs eh überhaupt nicht, dass es hier schon so weit ist. Anscheinend taugt die neue Balkonlage echt was. 😂",1,1,1
3850,@coffeiniker Oder der Aluhut zu fest auf dem Kopf sitzt und das restliche Hirn zerquetscht,1,1,1
3851,"@Enrico95151143 @welt Schon ""irritierend"" dass hinter Herrn Kühnert nicht nur der DIW-Präsident Fratzscher sondern… https://t.co/YKvE1icEOW",1,1,1
3852,pass that Deutsche,1,1,1
3853,"RT @_Adora_Belle_: Politiker so: ""Die Jugend ist so unpolitisch!""
#Rezo  so: *beschäftigt sich mit Politik*
Politiker so: ""Mimimi, #fakenew…",1,1,1
3854,Zurück ins Jugendzimmer https://t.co/PRUP8CoQDH,1,1,1
3855,RT @VQuaschning: #Merkel will Klimaneutralität bis 2050. Reicht nicht für Paris. Mit aktueller Politik wirds auch nichts vor 2200. Merkel i…,1,1,1
3856,Gabriel morreu,1,1,1
3857,@ThorsMetkeller Bestell dir halt früher was DansGame,1,1,1
3858,Juristen die nichts können werden Politiker vom Kaliber Maas!,1,1,1
3859,@YohBuh @ZeeLikeZorro @MOOOrizzle Scheiß Nazi!!!!!,0,2,1
3860,RT @Craftergut5: @CDU Das ist eure Politik Merkel und sie der Verbrecher Macron. https://t.co/erTdrUYp19,0,2,1
3861,KEIN WUNDER !!! Diese NAZIS wollten/wollen ÖSTERREICH PUTSCHEN !!! KEINE MACHT diesen NAZIS !!! #HCSmussWeg… https://t.co/tBdl3Nn8Io,1,1,1
3862,RT @alextv: Gibt es eigentlich Puffs für Frauen? 🤔,1,1,1
3863,"Das linke Wahldesaster in Europa

Strömungsübergreifend haben linke Parteien bei der EU-Wahlen verloren. Ein nachha… https://t.co/BuBI5szpRx",1,1,1
3864,@BILD Sie meisten Grünen sind Alkoholiker.,0,0,1
3865,"RT @chil_ro: Es gibt immer dieses ""nur mal kurz"" ARSCHLOCH! https://t.co/SZGCAiHsqc",0,3,1
3866,"Freiheizstatue: RT AchimSpiegel: Bei Euch LINKEN gäbe es gar nichts, außer Zerfall, Armut und Unterdrückung.… https://t.co/Q9C1DUmSye",1,1,1
3867,RT @Grottekbrutal: Deutsche Traumurlaub https://t.co/5xAiARXiCe,1,1,1
3868,RT @BytePirat: Es ist eine Schande! Es gibt tausende bedürftige Kinder und Familien. Warum kann man diese Lebensmittel nicht verschenken? h…,1,1,1
3869,"RT @PParzival: #Aufstehen gegen pseudolinken Grüne
Die vormalige grüne Friedenspartei hat sich zur schrillsten Kriegspartei gemausert, die…",1,1,1
3870,Der Doktor hat ein Herz. Das ist NICHT dumm! #HomeForWhovians,1,1,1
3871,@weilkp1 da stimmt einfach alles vallah,1,1,1
3872,@frauE_ausB Du leckst den ab????🙄,1,1,1
3873,@faznet Nun die USA machen doch nur was Merkel selbst fordert. https://t.co/BRS9z1Yuz5,1,1,1
3874,"@RandyRaudi @tagesschau Was hat das mit dem Islam zu tun? Alle Religionen gehören zum Teufel, um es mit ihrem Wort zu sagen",1,1,1
3875,"Was machen eigentlich die Linken und ihre symphatische Vorzeigekandidatin , weiss man da was ?",1,1,1
3876,"Was die  #erstwähler  noch erfahren werden ist, dass ein Kreux bei den Grünen nicht das Klima rettet,,weil Grüne  v… https://t.co/rggHOvByzO",1,1,1
3877,Hitler macht kein Deutschrap 6:1 hitler,1,1,1
3878,"@lukasinho01 Ist irgendwie blöde, AFD ist scheiße aber auch die scheinheilige Linke und CO. Wenn man sich mal richt… https://t.co/RZRn2hYYC7",0,2,1
3879,RT @mozart2018: #EUWahl Stoppt endlich Merkels jahrelange #Massen-und #Verbrecherinvasion sie zerstört Deutschland   wählt #AFD https://t.c…,0,2,1
3880,"Wussten Sie, dass das Wort “Mülldeponie” eigentlich schon zu den veralteten Wörtern in Deutschland zählen müsste?
W… https://t.co/dtQBDL6B9C",1,1,1
3881,@AljaseAs Puh. Was für kollossale Scheisse einfach. (Kann das nicht faven. ☹️),0,3,1
3882,"Die deutschen Politiker sind den Islamisten ausgeliefert, Punkt",1,1,1
3883,"Ein Rapper, der in seinen Texten hauptsächlich misogyne scheiße von sich gibt und sich als misogynes Arschloch insz… https://t.co/EyqH4V6yKK",0,3,1
3884,deutsche xxxtentacion https://t.co/BNE5k3hVw3,1,1,1
3885,"RT @ulrichham: @Karl_Lauterbach Wir hatten schon mal rot grün .Abgezockt habt ihr uns .Belogen und betrogen .H4 , Altersarmut ,Leiharbeit,…",0,0,1
3886,"RT @_TheTrveVarg_: Deutschland wird in der Bedeutungslosigkeit verschwinden. Eine Schande, wenn man bedenkt, was Deutsche der Welt einst hi…",1,1,1
3887,"Wie viele dumme Menschen es doch gibt... Und sie merken noch nicht mal, wie dämlich sie sind. Sie denken total besc… https://t.co/evnrJebcdu",0,0,1
3888,"RT @SonjadelaRosa7: @Eddie_1412 @DarkCat90 @zeitonline Verdammt, die Grünen kommen nicht ins Himmelsreich, weil sie Vielflieger sind?! 🤣",1,1,1
3889,RT @tagesschau: Stiftung Warentest: Tropenholz in Grillkohle https://t.co/iWgoLmpTu4 #Grillen #Grillkohle,1,1,1
3890,@steak_staub6760 Hört sich nach aua an,1,1,1
3891,RT @depositodetiras: por charles schulz https://t.co/KZHHK9XMhF,1,1,1
3892,"@FrauWeh Wart ab, die Bogenschützen dezimieren die Prinzen und dann stimmt es wieder ;-)",1,1,1
3893,@GurkenplaysYT @ChrisFCN1900 Was ein hurensohn und dann lacht der noch so dreckig...,0,3,1
3894,@BeateHaubrock @mokomokai @KJPGehrden #IdentifikationmitdemAggressor? Oder einfach Dummheit?,1,1,1
3895,"RT @samelou: Das seltsame an der Zensur dieses Satzes: er ist einfach nur ein Fakt. Es ist keine Beleidigung, keine Verleumdung, keine entw…",1,1,1
3896,"RT @oklara: Nazis sind Nazis, weil sie Nazis sein wollen.",1,1,1
3897,"Real pornos deutsch, reality kings gratis. Frauen vogeln milf arsch https://t.co/kmtGI7MbtE",0,3,1
3898,"Was geschieht, wenn deutsche Familien #Austauschschüler aufnehmen: mal die übliche Teenager-Mühsal, mal Sitcom, mal… https://t.co/bPIwteQK4v",1,1,1
3899,"RT @TemmuzKacak: Deutsche Medien sind schon komisch:
TerrorPKK in #Deutschland 
Gestern:
#Pkk = Freiheitskämpfer 
Jetzt:
Pkk = Irakische Ro…",1,1,1
3900,@AfDBerlin Burka für Merkel! https://t.co/n4Xrey3s8s,1,1,1
3901,Und ich werde NURNOCH in meinem Zimmer sitzen und ich werde hier bis ich ausziehe KEIN Gramm essen zu mir nehmen !!,1,1,1
3902,"@BoserEr @SebastianHampel @DrDavidBerger Was ist den mit den Gängster Rap. Unsere Kinder verblöden,wenn sie die Cha… https://t.co/XVfdR9gove",1,1,1
3903,"Für mich schon DAS BUCHZITAT des Tages:

""Immer musste man dort hinter irgendeinem Idioten in der Schlange stehen,… https://t.co/bL1hZeYyep",1,1,1
3904,@ghostikun sexistische kackscheisse einfach nur,0,3,1
3905,@Krise_K @BrabaxBln @s_ill_e @Zitronenjette20 @Morgaine620 @dgh_de Auch das Treppenhaus ist dann sehr einfach zu re… https://t.co/EHnW43wide,1,1,1
3906,"liebs, wie er beim Wahlomat auch bei den grünen am meisten Prozent hatte, aber bestimmt irgendeinen anderen scheiß… https://t.co/l55CAQLg2F",0,3,1
3907,RT @burger_ein: Bewährungsstrafe für  Schwarzafrikanischen Asyltouristen der eine junge Deutsche auf Kirchentreppe vergewaltigt hat https:/…,1,1,1
3908,"Hure mit milch lesbensexvideos kostenlos. Blonde deutsche schlampe, deutsche schwiegermtter gratis porno. https://t.co/iW5W99oAJM",0,3,1
3909,@chris_98763 @zeitonline dummheit volltreffer,1,1,1
3910,"RT @schmid_claudio: Es ist mir ein Rätsel wozu es überhaupt noch Wirtschaftsverbände gibt. Tatenlos sehen sie zu, wie eine grüne Bande den…",1,1,1
3911,"RT @DaddyAtze: So that was fun 😜💦💦💦🤘
Einfach goil, dieser Arsch 🤘😜 https://t.co/O1qiWZis6U",0,3,1
3912,@cookiesforjoon fandest du es auch so scheiße wie ich?,0,3,1
3913,"Sind blaue Haare das neue blond oder warum wird @rezomusik, um es doof zu sagen, für dumm erklärt?",1,1,1
3914,"@Skototaxis Damals, als es linke Journalisten waren, die sich so trafen.",1,1,1
3915,"Reifen frauen com, fette haarige frauen. Ficken junge frauen deutscher wrge fetisch porno https://t.co/bvgPauANmS",0,3,1
3916,"Samsung DA29-00020B, HAF-CIN/EXP Premium Refrigerator Water Filter (White, 2 pack)
         https://t.co/IgevEPEmUG… https://t.co/fjNWdORenQ",1,1,1
3917,"@aufklaerer2017 Der #Aufschrei gewesen, wenn er einen #linken über die Brüstung gehoben hätte 😎",1,1,1
3918,"#NWBRE14

Borken (Westf.) (ab 16:31) -&gt; Essen Hbf (an 17:29) am 15.05.2019 +++ Teilausfall +++ von Dorsten (ab 16:5… https://t.co/DQFghhRD1L",1,1,1
3919,@tagesschau Allen ein fröhliches Allahu Akbert.,1,1,1
3920,wennst nicht zuhörst und SIE dich gegen die wand choked💖💖,1,1,1
3921,Hurensohn wer nicht für mich stimmt,0,3,1
3922,"@ZDFheute @sven_giegold Rot-Grün zusammen haben 1,7% verloren.",1,1,1
3923,was zur hölle ist in dem veganem dings von mecces dringe warum sieht der scheiß genau so aus wie deren ranziges rindfleisch,0,3,1
3924,Hurensohn wer Videoaufrufe kaufende hurensöhne hört,0,3,1
3925,RT @TopTomCH: FF Nicht für jeden Arsch - Fistplay  😜😜😜 #gay #ass #assplay #ff #fistingtime #fisting #xyz  © @TopTomCH https://t.co/O7YF0ZgA…,0,3,1
3926,"RT @BoserEr: Causa Strache: Ein Konservativer schießt einen Bock und tritt zurück.
Linke tricksen, betrügen, versagen und brechen geltendes…",1,1,1
3927,mdchen naked extrem behaarte muschis a deutsche porno deutsche transnutte porno clip https://t.co/dCh4j9R8JK,0,3,1
3928,@SPIEGEL_alles Habt Ihr da nicht was verwechseln ist es nicht die SPD die mit dem Islam den Roten Teppich aus legt… https://t.co/foCSZRIccb,1,1,1
3929,Kurz schreckt echt vor nix zurück. #EUWahl19,1,1,1
3930,@cubcgn1 @Davidhf92 Den arsch würde ich gerne einmal verwöhnen,0,3,1
3931,"RT @narrhallamarsch: scheiß auf Spargel, Erbeeren for President!",1,1,1
3932,RT @el_ramberto: @hururensooohn okok stopp nein abort mission da ist n faltiger arsch voll mit ausschlag,0,3,1
3933,@realAntiZion77 @nettilatte @AkifPirincci @HCStracheFP Halt deine fresse du anonymer nicht mal seine fresse zeigender Bonner stricher,0,2,1
3934,"@PillePa47127736 @rezomusik Ich wollte nur zeigen, dass meine Tweets einen Scheiß zur Umweltbelastung beiträgt. Und… https://t.co/NXyPAdCIBE",1,1,1
3935,Trends der Grünen Branche auf der Spoga+Gafa  https://t.co/3NOVZpn6vf,1,1,1
3936,RT @Bjrn17547904: @gruenenrw @Die_Gruenen Nein zum Nationalmasochismus der Grünen und anderen Linken Geisteskranken !!! https://t.co/8Jr1Zz…,0,0,1
3937,@larsweisbrod Wir sind im Arsch...,0,3,1
3938,Will ich mich verlieben oder bin ich einfach nur dumm?,1,1,1
3939,@ess_steffen A Flüchtlinge B Asylanten C Goldstücke D Facharbeiter,1,1,1
3940,@domi_twr @Aelydysdenossi @Morastmops Behinderte fresse? Der kann mich mal gewaltig am Arsch lecken!,0,2,1
3941,"@politicalbeauty #naziaufmärsche können nicht unter freie meinungsäusserung, demorecht, genemigt werden, da nazis g… https://t.co/laRGYIErrm",1,1,1
3942,An alle Frauen der Welt. https://t.co/5a3bJEkP9Y,1,1,1
3943,@bodoloettgen Grün war schon immer linksextrem.,0,0,1
3944,@tagesschau Das wird den Linksextremisten und Merkels Fachkräften überhaupt nicht gefallen!,1,1,1
3945,"RT @a_nnaschneider: Und die Krönung des ganzen ist Ökofeminismus aka: #birthstrike, also keine Kinder bekommen, der Umwelt zuliebe. Völlig…",1,1,1
3946,"@krippmarie Der Brinkhaus ist auch nicht das, was man von ihm erwartet hat. Keinen Deut besser als der ganze CDU-Ve… https://t.co/2GsfsDflES",1,1,1
3947,"Das ist der größte Fehler dieser ganzen Idioten. Jeden, der (noch) dümmer ist als sie, dennoch/""erst recht"" maximal… https://t.co/l8GpjHfi4f",0,0,1
3948,RT @just__st: Junge ich hasse meine scheiß Hurensohn klasse.,0,3,1
3949,@MaribonCW dumme hurensöhne die jungen,0,2,1
3950,"RT @LaVieVagabonde: In der nächsten BILD: Schwarze Schuhcreme und eine Anleitung, wie man sich dunkle Haut ~bastelt~! 

Herrje. https://t.c…",1,1,1
3951,@YuumaTsukumo @AfDBerlin Bei 1.67% von Islamisierung labern ist schon gewaltig debil.,0,2,1
3952,"@AndreasStraub Ich würde nicht blöd sagen, sondern eher verblendet, sie haben sich von linken Rassisten leimen lass… https://t.co/HZgvuLkgW8",1,1,1
3953,"S60 18:34 ab Böblingen nach Stuttgart Schwabstr. 19:33 an, fährt erst ab Maichingen um 18:40 #SBahnStgt https://t.co/12XHWNR5U8",1,1,1
3954,"RT @gifev: Viel los in der gif Kompetenzgruppe Wohnen! Aktuelle Projektgruppen: Neue Wohnformen, Mikrolagen-Ranking für deutsche Großstädte…",1,1,1
